"","MEblue","MEbrown","MEgreen","MEred","MEturquoise","MEyellow"
"LFA_t3",0.230754077246282,0.27583186564325,0.470356191495258,-0.0919678442768203,0.0623598467086154,0.0122702082378194
"LFA_t8",0.00196481204248244,0.0744510578623672,-0.131593577722275,-0.203645849499906,-0.185624065705202,0.172735510527082
"LFB_t3",0.17485063116301,0.263524218425212,0.402014588023595,-0.139752596062856,0.0276229326946594,0.0159841489462427
"LFB_t8",0.117810063122801,0.246702531848237,-0.022812940908298,-0.127124409961162,-0.0505301262971503,0.311767688854973
"LFC_t3",0.0744892964643689,0.144139328357223,0.196411737016024,-0.166643703528315,-0.0627358296256746,-0.0586191332729124
"LFC_t8",0.0315790069759357,0.153861533903382,-0.0897067926376241,-0.190676618443182,-0.12565492679022,0.243060671385096
"LSA_t3",-0.198885571011581,0.273587004882735,0.0505167627395683,-0.204288713666529,0.415271279028308,-0.150379814753192
"LSA_t8",0.263783805173177,0.282342487857278,0.102306392527203,-0.0972632273090288,-0.0141558239864951,0.180237515234578
"LSB_t8",0.357576694285749,0.289908296209061,0.195937950685632,-0.067934301026914,-0.020860008328333,0.148142376794922
"LSC_t3",-0.431169970815222,-0.105951979531308,-0.339805069714728,-0.360828303850167,-0.010890770617107,-0.333214154394293
"LSC_t8",0.136214078384984,0.150861688284818,0.000834950155528531,-0.172782823499041,-0.128031450635778,0.0474933050770063
"WFA_t3",-0.0324788856894011,-0.22688471953335,0.0429719782595513,0.138491775644783,-0.102950563212479,-0.219728529053629
"WFA_t8",0.0685710221135441,-0.115135946790081,-0.0933176528306794,0.280589501407831,-0.0766129017467703,0.276309148639796
"WFB_t3",0.0252590002455907,-0.196191197994908,0.0285361014151547,0.171647834205679,-0.0626117021807474,-0.176966636759823
"WFB_t8",0.0910519507083757,-0.109152692711718,-0.0946615849826125,0.292381646034964,-0.102170545005158,0.404787154969124
"WFC_t3",-0.111527283384453,-0.277071529630874,-0.134531516207195,0.0168307891084061,-0.205297405530847,-0.232838962392363
"WFC_t8",-0.170027602892118,-0.262789984191359,-0.305663483350791,0.0253590496976816,-0.282679128978865,0.11783257901726
"WSA_t3",-0.209592718410713,-0.0926119335292908,0.00422094862468677,0.126960795690273,0.372600610162536,-0.1813288523504
"WSA_t8",-0.332765878031907,-0.390240303548221,-0.423559483848005,-0.172076216922037,-0.373836962799847,-0.295467730053379
"WSB_t3",-0.259919673886741,-0.129569918959012,-0.104207452598569,0.0661353300504962,0.370040224417163,-0.202236594858462
"WSB_t8",0.316238920705257,0.00435270972525848,0.225889113996416,0.544755735898444,0.190380653581333,0.158436820487094
"WSC_t3",-0.253125646126371,-0.118844648221435,-0.0689581955925463,0.0692566776211973,0.379732607013464,-0.211989606390423
"WSC_t8",0.109349871616951,-0.135117868357265,0.0888210354547052,0.262575472686204,-0.013365942165404,-0.0262871138921198
