"","MEred","MEsalmon","MEcyan","MEturquoise","MEbrown","MEblue","MEmagenta","MElightcyan","MEpurple"
"LFA_t8",0.259865761701876,0.031704893358608,-0.0580086872087862,0.248160142356388,-0.20865725202926,-0.286831759417487,-0.0360281401454399,0.102877023576826,-0.0656230628283833
"LFB_t8",0.260809611441151,0.0245487297639609,-0.0358690221082226,0.234359576455749,-0.177770121383882,-0.276084418049523,0.00687248669641827,-0.0870842622669806,-0.138503310648079
"LFC_t8",0.314436257852382,0.00159050764875535,-0.0422320657965171,0.295906083457908,-0.283818450275445,-0.31758491857858,-0.00662411565024512,0.203579825720169,-0.125599503473186
"LSA_t8",0.0075642484092282,0.229255507816772,0.249637250431068,0.286458655080859,-0.00115018127684366,-0.273321420299639,-0.272465063146226,-0.0769188355632111,-0.0898365115467221
"LSB_t8",-0.0814450068774907,0.327204479219478,0.426291684857423,0.316814453370851,-0.0213064504951254,-0.266308119202343,-0.415560677005026,0.080059597901071,-0.00532864801346204
"LSC_t8",-4.54702120259998e-05,0.292862943594263,0.35746750737675,0.334308624217714,-0.0541479969437417,-0.29383026198297,-0.332114428325679,0.0853962159596226,-0.0210300515609772
"WFA_t8",0.0679413593081037,-0.0424267505279669,-0.300739701293177,-0.297935277434569,-0.0488136808391444,0.237843262560257,0.345163544322691,-0.240553957869498,-0.0925804687269835
"WFB_t8",0.218657816893184,-0.0727646385618452,-0.446188531125854,-0.287511140480819,-0.253869844978185,0.218420954571107,0.456672391667098,0.242362184122719,-0.0697347894262367
"WFC_t8",0.291734866564048,-0.0682767301793247,-0.528843297860223,-0.356105674689961,-0.34233630112233,0.275791865931339,0.533459980163441,0.37362802801161,-0.00301227555880307
"WSA_t8",-0.56918537273158,-0.853351721938072,0.1132014723129,-0.210226154584969,0.549125506181704,0.392762638534399,-0.114791182987113,0.342308209418921,0.938556441401531
"WSB_t8",-0.366841077108948,0.016714279090957,0.0850367428085658,-0.290108067561143,0.410310865405913,0.310985916190468,-0.0476889768060096,-0.409367356763876,-0.117299843167424
"WSC_t8",-0.403492995239929,0.112938500714414,0.180246647606074,-0.274121220188009,0.432433907756339,0.278156259742973,-0.116895818783911,-0.616286672247372,-0.210007976451275
